Alpha-code-3;Name;Currency
ALB;Republic of Albania;Albanian Lek (L) (ALL)
AND;Principality of Andorra;Euro (€) (EUR)
ARM;Republic of Armenia;Armenian Dram (֏) (AMD)
AUT;Republic of Austria;Euro (€) (EUR)
AZE;Republic of Azerbaijan;Azerbaijani Manat (₼) (AZN)
BLR;Republic of Belarus;Belarusian Ruble (BYN)
BEL;Kingdom of Belgium;Euro (€) (EUR)
BIH;Bosnia and Herzegovina;Convertible Mark (BAM)
BGR;Republic of Bulgaria;Bulgarian Lev (BGN)
HRV;Republic of Croatia;Euro (€) (EUR)
CYP;Republic of Cyprus;Euro (€) (EUR)
CZE;Czech Republic;Czech Koruna (CZK)
DNK;Kingdom of Denmark;Danish Krone (DKK)
EST;Republic of Estonia;Euro (€) (EUR)
FIN;Republic of Finland;Euro (€) (EUR)
FRA;French Republic;Euro (€) (EUR)
GEO;Georgia;Georgian Lari (₾) (GEL)
DEU;Federal Republic of Germany;Euro (€) (EUR)
GRC;Hellenic Republic;Euro (€) (EUR)
HUN;Hungary;Hungarian Forint (HUF)
ISL;Iceland;Iclandic Króna (ISK)
IRL;Republic of Ireland;Euro (€) (EUR)
ITA;Italian Republic;Euro (€) (EUR)
KAZ;Republic of Kazakhstan;Kazakh Tenge (₸) (KZT)
XKX;Republic of Kosovo;Euro (€) (EUR)
LVA;Republic of Latvia;Euro (€) (EUR)
LIE;Principality of Liechtenstein;Swiss Franc (CHF)
LTU;Republic of Lithuania;Euro (€) (EUR)
LUX;Grand Duchy of Luxembourg;Euro (€) (EUR)
MLT;Republic of Malta;Euro (€) (EUR)
MDA;Republic of Moldova;Moldovan Leu (MDL)
MCO;Principality of Monaco;Euro (€) (EUR)
MNE;Montenegro;Euro (€) (EUR)
NLD;Netherlands;Euro (€) (EUR)
NOR;Kingdom of Norway;Norwegian Krone (NOK)
POL;Republic of Poland;Polish Złoty (PLN)
PRT;Portuguese Republic;Euro (€) (EUR)
ROU;Romania;Romanian Leu (RON)
RUS;Russian Federation;Russian Ruble (₽) (RUB)
SMR;Republic of San Marino;Euro (€) (EUR)
SRB;Republic of Serbia;Serbian Dinar (RSD)
SVK;Slovak Republic;Euro (€) (EUR)
SVN;Republic of Slovenia;Euro (€) (EUR)
ESP;Kingdom of Spain;Euro (€) (EUR)
SWE;Kingdom of Sweden;Swedish Krona (SEK)
CHE;Swiss Confederation;Swiss Franc (CHF)
TUR;Republic of Türkiye;Turkish Lira (₺) (TRY)
UKR;Ukraine;Ukrainian Hryvnia (₴) (UAH)
GBR;United Kingdom of Great Britain and Northern Ireland;Pound Sterling (£) (GBP)
VAT;Vatican City (Holy See);Euro (€) (EUR)
