ALB;Republic of Albania;Albanian Lek (L) (ALL)
AND;Principality of Andorra;Euro (€) (EUR)
ARM;Republic of Armenia;Armenian;Armenian Dram (֏) (AMD)
AUT;Republic of Austria;Euro (€) (EUR)
AZE;Republic of Azerbaijan;Azerbaijani Manat (₼) (AZN)
BLR;Republic of Belarus;Belarusian Ruble (BYN)
BEL;Kingdom of Belgium;Euro (€) (EUR)
BIH;Bosnia and Herzegovina;Convertible Mark (BAM)
BGR;Republic of Bulgaria;Bulgarian Lev (BGN)
HRV;Republic of Croatia;Euro (€) (EUR)
CYP;Republic of Cyprus;Euro (€) (EUR)
CZE;Czech Republic;Czech Koruna (CZK)


LVA;Republic of Latvia,Euro (€) (EUR)
LIE;Principality of Liechtenstein;Swiss franc (CHF)
LTU;Republic of Lithuania;Euro (€) (EUR)
LUX;Grand Duchy of Luxembourg;Euro (€) (EUR)
MLT;Republic of Malta;Euro (€) (EUR)
MDA;Republic of Moldova;Leu (MDL)
MCO;Principality of Monaco;Euro (€) (EUR)
MNE;Montenegro;Euro (€) (EUR)
NLD;The Netherlands;Euro (€) (EUR)
NOR;Kingdom of Norway;Norwegian krone (NOK)
POL;Republic of Poland;Złoty (PLN)
PRT;Portuguese Republic;Euro (€) (EUR)
ROU;Romania;Romanian leu (RON)
RUS;Russian Federation;	Ruble (₽) (RUB)
SMR;Republic of San Marino;Euro (€) (EUR)
SRB;Republic of Serbia;	Serbian dinar (RSD)
SVK;Slovak Republic;Euro (€) (EUR)
SVN;Republic of Slovenia;Euro (€) (EUR)
ESP;Kingdom of Spain;Euro (€) (EUR)
SWE;Kingdom of Sweden;Swedish krona (SEK)
CHE;Swiss Confederation;Swiss franc (CHF)
TUR;Republic of Türkiye;Turkish lira (₺) (TRY)
UKR;Ukraine;Hryvnia (₴) (UAH)
GBR;United Kingdom of Great Britain and Northern Ireland;Pound sterling (£) (GBP)
VAT;Vatican City (Holy See);Euro (€) (EUR)
