ID;Name;Description;Discussion_json_path
0;Mediterrenean;PLACEHOLDER TEXT;PLACEHOLDER JSON
1;Temperate Climate;PLACEHOLDER TEXT;PLACEHOLDER JSON
2;Mountain Climate;PLACEHOLDER TEXT;PLACEHOLDER JSON
3;Highland Continental;PLACEHOLDER TEXT;PLACEHOLDER JSON
4;Moderately Continental;PLACEHOLDER TEXT;PLACEHOLDER JSON
5;Alpine;PLACEHOLDER TEXT;PLACEHOLDER JSON
6;Slightly Continental;PLACEHOLDER TEXT;PLACEHOLDER JSON
7;Continental;PLACEHOLDER TEXT;PLACEHOLDER JSON
8;Maritime Cliamte;PLACEHOLDER TEXT;PLACEHOLDER JSON
9;Subtropical Mediterranian;PLACEHOLDER TEXT;PLACEHOLDER JSON
